id,cod_carta,descrizion
"1","1",Complesso Panormide - Filladi di colore grigio o giallastro
"2","2",Complesso Panormide - Calcari dolomitici e dolomie calcaree di colore grigio
"3","3","Complesso Liguride - Unita A - quarzareniti grigio brune, argilloscistigrigi e calcari arenaceo siltosi"
"4","4",Complesso Liguride - Unita B - Metabasiti - metaporfiriti massive con fenocristalli felspatici biancastri
"5","5",Complesso Liguride - Unita B - Filladi e Metareniti Filladiche di colore grigio verde
"6","6",Complesso Liguride - Unita B - Porfiroidi biancastri e scistosi in corpi lentiformi di variabili dimensioni
"7","7",Complesso Liguride - Unita B - Marmi e Metareniti Filladiche
"8","8",Complesso Liguride - Unita B - Calcari e Semiscisti quarzosi
"9","9",Complesso Liguride - Unita B - Calcari grigi a grana fine
"10","10",Complesso Calabride - Unita A - Anfiboliti Pirosseniche e Metaultrafemiti
"11","11",Complesso Calabride - Unita A - Serpentiniti
"12","12",Complesso Calabride - Unita A - Piriclastiti
"13","13",Complesso Calabride - Unita A - Granofels
"14","14",Complesso Calabride - Unita A - Gneiss Kinzigitici
"15","15",Complesso Calabride - Unita A - Leucosomi concordanti e discordanti
"16","16",Complesso Calabride - Unita A - Gneiss biotitici eterogenei
"17","17",Complesso Calabride - Unita A - Graniti e Granodioriti
"18","18",Complesso Calabride - Unita A - Filoni lamprofirici e porfiritici
"19","19",Complesso Calabride - Unita A - Trondhjemiti a grana grossa avanzato stato di cataclasi e di alterazione
"20","20",Complesso Calabride - Unita A -  Trondhjemiti ricche di septa gneissica e pegmatiti
"21","21",Complesso Calabride - Unita B - Gneiss muscovitici
"22","22",Miocene - Conglomerati da rosso-bruni a giallastri
"23","23",Miocene - Arenarie e Calcari Arenacei
"24","24",Miocene - Argille Marnoso Siltose grigie
"25","25",Miocene - Conglomerati rossi e grigi
"26","26",Miocene - intercalazioni di calcari vacuolari ricchi in bioclasti 
"27","27",Miocene - Marne Calcaree Siltose
"28","28",Miocene - Gessi
"29","29",Miocene - Argille Marnose
"30","30",Miocene - Arenarie
"31","31",Pliocene - Conglomerati chiari ad elementi poligenici arrotolati a matrice sabbiosa
"32","32",Pliocene - Argille marnose grigio azzurre
"33","33",Pleistocene - Sabbie e Arenarie con piccole lenti conglomeratiche
"34","34",Pleistocene - Sabbie con intercalazioni conglomeratiche
"35","35",Pleistocene - Argille Marnoso Siltose Azzurre
"36","36",Pleistocene - Sabbie bruno chiare a grana grossa con livelli sabbiosi a grana fine
"37","37",Pleistocene - Terrazzi Marini
"38","38",Pleistocene - Conglomerati fluvio-marini
"39","39",Olocene - Terrazzi fluviali di vario ordine
"40","40",Olocene - Coni di deiezione
"41","41",Olocene - Falde e coni di detrito
"42","42",Olocene - Detriti di frane
"43","43",Olocene - Pianure costiere
"44","44",Olocene - Alluvioni fluviali e marine attuali
"45","0",Acque Interne
